,id,description,price,address,date added,agent
2340,53038632,3 bedroom terraced house for sale,385000,"Buxton Avenue, West Didsbury, Manchester, M20 ",03/10/2018," by JP & Brimelow , Withington"
2341,70895348,3 bedroom semi-detached house for sale,385000,"Daresbury Road, Chorlton, Manchester, M21 ",23/02/2018," by JP & Brimelow, Chorlton & Didsbury Sales"
2342,57373062,3 bedroom end of terrace house for sale,385000,"Matlock Avenue, West Didsbury, Manchester",18/10/2018," by Julian Wadden, Didsbury"
2336,65235182,3 bedroom apartment for sale,386887,"Unit 30.04 Greengate, Manchester, Greater Manchester, M3",15/03/2017, by Opulent
2335,66527420,2 bedroom apartment for sale,387950,"Carding - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",22/05/2017, by JLL
2332,68328158,3 bedroom town house for sale,389500,"Cotton Square, Manchester",14/08/2017, by Belvoir
2333,68909138,3 bedroom town house for sale,389500,"Cotton Square, Manchester",18/09/2017, by Belvoir
2334,67218473,3 bedroom town house for sale,389500,"Cotton Square, Manchester",22/06/2017, by Belvoir
2331,65238346,4 bedroom semi-detached house for sale,389950,"Scholes Lane, Prestwich, Manchester",08/05/2018," by Clive Anthony Sales & Lettings, Prestwich"
2329,55074705,4 bedroom semi-detached house for sale,390000,"Carlton Road, Heaton Mersey, Stockport, Cheshire",23/07/2018," by Philip James Kennedy, Sales"
2328,76636067,5 bedroom detached house for sale,390000,"Clarendon Road, Manchester, M30",24/10/2018," by Purplebricks, covering the North West"
2330,75636605,5 bedroom semi-detached house for sale,390000,"St. Teresas Road, Firswood, Manchester, Greater Manchester, M16",14/09/2018," by Bridgfords, Chorlton"
2390,73165034,3 bedroom flat for sale,392000,"Aspin Lane, Manchester, Greater Manchester, M4",14/05/2018, by Royal Properties
2389,69530723,3 bedroom apartment for sale,392500,"Aspin Lane, Manchester, Greater Manchester, M4",19/10/2017, by Cushman & Wakefield
2388,49994706,2 bedroom apartment for sale,392500,"Linter - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",15/08/2017, by JLL
2387,72218984,3 bedroom penthouse for sale,393250,"Liverpool Street, Salford, Greater Manchester, M5",24/03/2018, by Surrenden Invest
2386,66592192,3 bedroom property for sale,394495,"Fortis Quay, Salford",23/07/2018," by Open House Estate Agents , Nationwide"
2381,57107499,4 bedroom apartment for sale,394995,"Salford, Manchester",24/10/2018, by North Property Group Ltd
2380,66572842,4 bedroom apartment for sale,394995,"Bridgewater Wharf, 257 Ordsall Lane, Manchester",23/07/2018," by Open House Estate Agents , Nationwide"
2379,52008021,4 bedroom duplex for sale,394995,"Bridgewater Wharf, 257 Ordsall Lane, Manchester, Greater Manchester, M5 3NG",11/12/2017," by Knight Knox , Salford"
2383,68920655,3 bedroom apartment for sale,394995,"Northill Apartments, Fortis Quay, Salford Quays, Greater Manchester, M50",27/06/2017," by Knight Knox , Salford"
2382,70579913,4 bedroom duplex for sale,394995,"257 Ordsall Lane, Manchester",11/12/2017," by I Am The Agent, Nationwide"
2385,76574135,3 bedroom flat for sale,394995,"Northill Apartments, Salford, Greater Manchester, M50",22/10/2018, by Parker Buchanan Estates Ltd
2384,76542449,3 bedroom apartment for sale,394995,"Anchorage Quay, Salford, Greater Manchester, M50",20/10/2018, by Flambard Williams Limited
2370,56120337,6 bedroom semi-detached house for sale,395000,"Norwood Avenue, Salford, Salford",03/09/2018," by Herwald Sales & Lettings, Prestwich"
2378,63189718,3 bedroom apartment for sale,395000,"'Silverwood', Barlow Moor Road, Didsbury, Manchester",15/12/2017," by Philip James Kennedy, Didsbury"
2377,67959028,2 bedroom apartment for sale,395000,"1 Lower Ormond Street, Manchester, M1",12/10/2018," by The Estate Agent Manchester, Manchester"
2376,67902535,5 bedroom detached house for sale,395000,"Leicester Road, Failsworth, Manchester, Greater Manchester, M35",09/10/2018," by Bridgfords, Manchester"
2375,76521824,5 bedroom terraced house for sale,395000,"Wellington Road North, Heaton Norris",19/10/2018," by Joules Estate Agency, Heaton Mersey"
2374,67546951,4 bedroom semi-detached house for sale,395000,"Park Road, Stretford, Manchester",17/09/2018," by Home Estate Agents, Stretford"
2371,62242543,3 bedroom apartment for sale,395000,"The Dock Office, Salford Quays",10/10/2018," by Julie Twist Properties, Manchester"
2372,56417169,4 bedroom town house for sale,395000,"Turnmoss Road, Stretford, Manchester",04/09/2018," by Kaye Mackenzie, Levenshulme - Sales"
2373,67960246,2 bedroom apartment for sale,395000,"Ellesmere Street, Manchester, M15",12/10/2018," by The Estate Agent Manchester, Manchester"
2369,66527426,2 bedroom apartment for sale,397950,"Carding - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",22/05/2017, by JLL
